epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,160.184,1.96713,2.31093,1.02705,0.30754,0.17463,0.12542,0.06674,1.75428,1.47748,0.97253,0.000237706,0.000237706,0.000237706
2,328.147,1.80794,1.57282,0.98016,0.25355,0.20271,0.15236,0.08139,1.71271,1.37453,0.95906,0.000466287,0.000466287,0.000466287
3,472.962,1.76835,1.46843,0.96996,0.28205,0.24193,0.18253,0.09734,1.66352,1.32735,0.9505,0.000685443,0.000685443,0.000685443
4,621.362,1.7417,1.4165,0.96311,0.29768,0.22912,0.17038,0.09145,1.68906,1.31764,0.96135,0.000671588,0.000671588,0.000671588
5,764.582,1.72195,1.37385,0.95517,0.32398,0.24621,0.2062,0.11175,1.62006,1.24954,0.94009,0.000657451,0.000657451,0.000657451
6,1192.83,1.72243,1.34615,0.95169,0.31845,0.25833,0.20511,0.111,1.61639,1.24431,0.93599,0.000643314,0.000643314,0.000643314
7,1327.84,1.69117,1.31691,0.94743,0.33211,0.27013,0.22575,0.12272,1.59706,1.21097,0.93338,0.000629177,0.000629177,0.000629177
8,1463.02,1.68045,1.29538,0.94359,0.35619,0.26451,0.22556,0.12368,1.57846,1.18761,0.9254,0.00061504,0.00061504,0.00061504
9,1600.61,1.65976,1.26533,0.94136,0.36153,0.27338,0.23495,0.12673,1.56608,1.1771,0.92564,0.000600902,0.000600902,0.000600902
10,1740.65,1.64729,1.25072,0.93707,0.35237,0.28277,0.23576,0.12713,1.55513,1.17699,0.92753,0.000586765,0.000586765,0.000586765
11,1882.14,1.64673,1.23333,0.93265,0.35614,0.27961,0.23355,0.12886,1.56248,1.17425,0.92233,0.000572628,0.000572628,0.000572628
12,2018.33,1.64397,1.22933,0.93314,0.34751,0.2867,0.23945,0.13229,1.56354,1.15822,0.92282,0.000558491,0.000558491,0.000558491
13,2153.37,1.63941,1.22381,0.93242,0.3599,0.28495,0.23962,0.13333,1.54229,1.16029,0.92182,0.000544354,0.000544354,0.000544354
14,2289.77,1.61577,1.20322,0.92908,0.39496,0.28278,0.25019,0.13793,1.53922,1.14319,0.91829,0.000530216,0.000530216,0.000530216
15,2429.02,1.62522,1.19957,0.92608,0.37259,0.29364,0.2523,0.13931,1.53881,1.13356,0.91866,0.000516079,0.000516079,0.000516079
16,2565.19,1.61118,1.18616,0.92703,0.38417,0.29293,0.25933,0.14229,1.52461,1.13034,0.91468,0.000501942,0.000501942,0.000501942
17,2852.54,1.61009,1.18672,0.9243,0.36685,0.2969,0.25248,0.14051,1.52593,1.1204,0.91253,0.000487805,0.000487805,0.000487805
18,2986.74,1.59725,1.16569,0.92263,0.37754,0.29337,0.25683,0.14283,1.51788,1.11174,0.91294,0.000473668,0.000473668,0.000473668
19,3121.78,1.59408,1.16597,0.92369,0.38379,0.29663,0.25903,0.14299,1.52656,1.11977,0.91518,0.00045953,0.00045953,0.00045953
20,3340.42,1.58659,1.15489,0.92016,0.38265,0.30608,0.26819,0.14742,1.51663,1.11065,0.91473,0.000445393,0.000445393,0.000445393
21,3475.36,1.59745,1.1578,0.92132,0.39107,0.30706,0.26927,0.14954,1.50659,1.09812,0.91093,0.000431256,0.000431256,0.000431256
22,3612.17,1.58364,1.14123,0.91848,0.3793,0.29931,0.26157,0.14549,1.50798,1.10178,0.91384,0.000417119,0.000417119,0.000417119
23,3849.21,1.57051,1.13528,0.9188,0.3894,0.30318,0.27028,0.14996,1.50024,1.09826,0.9083,0.000402982,0.000402982,0.000402982
24,3983.16,1.57705,1.13422,0.91762,0.39554,0.30619,0.27106,0.15174,1.4951,1.0913,0.90878,0.000388844,0.000388844,0.000388844
25,4123.3,1.55731,1.11674,0.91627,0.39457,0.30678,0.27597,0.15317,1.49908,1.08804,0.90955,0.000374707,0.000374707,0.000374707
26,4262.56,1.56542,1.12111,0.91447,0.39533,0.31057,0.27257,0.15253,1.49778,1.08433,0.90719,0.00036057,0.00036057,0.00036057
27,4401.33,1.57003,1.11815,0.91269,0.40617,0.30717,0.27539,0.15449,1.49392,1.08128,0.90668,0.000346433,0.000346433,0.000346433
28,4540.58,1.56185,1.11357,0.9121,0.41017,0.31375,0.27945,0.15551,1.4891,1.0772,0.9072,0.000332296,0.000332296,0.000332296
29,4675.63,1.5488,1.10078,0.91116,0.41418,0.31063,0.27938,0.15669,1.48947,1.07289,0.90571,0.000318158,0.000318158,0.000318158
30,5159.45,1.5567,1.10087,0.9105,0.40181,0.31207,0.28123,0.15598,1.48554,1.07177,0.90633,0.000304021,0.000304021,0.000304021
31,5298.35,1.54895,1.09983,0.91091,0.40096,0.31812,0.28336,0.15761,1.48665,1.06433,0.90544,0.000289884,0.000289884,0.000289884
32,6370.16,1.55508,1.09537,0.9088,0.40052,0.31141,0.28187,0.15836,1.48234,1.06804,0.9054,0.000275747,0.000275747,0.000275747
33,6506.44,1.5455,1.08699,0.90944,0.41079,0.31359,0.28555,0.15868,1.47605,1.05991,0.90258,0.00026161,0.00026161,0.00026161
34,6660.82,1.55215,1.08468,0.90693,0.41376,0.31244,0.28317,0.15932,1.4685,1.05716,0.90067,0.000247472,0.000247472,0.000247472
35,6801.13,1.54076,1.08206,0.90764,0.4006,0.31811,0.28617,0.16,1.47463,1.05891,0.90293,0.000233335,0.000233335,0.000233335
36,6935.72,1.53039,1.07443,0.90741,0.41762,0.3134,0.28737,0.16076,1.47271,1.05415,0.90236,0.000219198,0.000219198,0.000219198
37,7083.81,1.52519,1.07039,0.90668,0.41694,0.31669,0.29045,0.1637,1.47132,1.04708,0.90164,0.000205061,0.000205061,0.000205061
38,7330.27,1.52054,1.06154,0.90455,0.42252,0.32229,0.29081,0.1623,1.47326,1.04649,0.90131,0.000190924,0.000190924,0.000190924
39,7465.76,1.52374,1.06259,0.90404,0.41638,0.32081,0.29057,0.16257,1.46988,1.04906,0.90205,0.000176786,0.000176786,0.000176786
40,7600.86,1.51649,1.05887,0.9045,0.42528,0.31794,0.29303,0.1645,1.46376,1.04231,0.89898,0.000162649,0.000162649,0.000162649
41,7779.78,1.47156,1.02872,0.90472,0.41568,0.31549,0.2875,0.16065,1.47226,1.05364,0.9014,0.000148512,0.000148512,0.000148512
42,7929.96,1.45908,1.01253,0.90202,0.42244,0.31747,0.29198,0.1628,1.47326,1.04718,0.90206,0.000134375,0.000134375,0.000134375
43,8070.92,1.45446,1.00979,0.9022,0.42352,0.32086,0.29381,0.16434,1.47119,1.04493,0.90154,0.000120238,0.000120238,0.000120238
44,8207.43,1.45309,1.00752,0.90173,0.43818,0.32062,0.29686,0.16537,1.469,1.04138,0.90181,0.0001061,0.0001061,0.0001061
45,8355.53,1.44832,0.99803,0.9012,0.42898,0.31936,0.2934,0.16437,1.46431,1.04077,0.90029,9.19632e-05,9.19632e-05,9.19632e-05
